Vgs,Vds,Ids
0.8383838383838385,0.1,0.05904062570870935
0.8383838383838385,0.15000000000000002,0.07307774773328662
0.8383838383838385,0.2,0.07687374718643337
0.8383838383838385,0.25,0.0769503146637107
0.8383838383838385,0.30000000000000004,0.07702688214098803
0.8383838383838385,0.35000000000000003,0.07710344961826535
0.8383838383838385,0.4,0.07718001709554267
0.8383838383838385,0.45,0.07725658457281999
0.8383838383838385,0.5,0.07733315205009733
0.8383838383838385,0.55,0.07740971952737465
0.8383838383838385,0.6000000000000001,0.07748628700465197
0.8383838383838385,0.65,0.07756285448192929
0.8383838383838385,0.7000000000000001,0.07763942195920662
0.8383838383838385,0.75,0.07771598943648395
0.8383838383838385,0.8,0.07779255691376127
0.8383838383838385,0.8500000000000001,0.07786912439103859
0.8383838383838385,0.9,0.07794569186831592
0.8383838383838385,0.9500000000000001,0.07802225934559323
0.8383838383838385,1.0,0.07809882682287057
0.8383838383838385,1.05,0.07817539430014787
0.8383838383838385,1.1,0.07825196177742522
0.8383838383838385,1.1500000000000001,0.07832852925470252
0.8383838383838385,1.2000000000000002,0.07840509673197987
0.8383838383838385,1.25,0.07848166420925717
0.8383838383838385,1.3,0.0785582316865345
0.8383838383838385,1.35,0.07863479916381182
0.8383838383838385,1.4000000000000001,0.07871136664108914
0.8383838383838385,1.4500000000000002,0.07878793411836647
0.8383838383838385,1.5,0.0788645015956438
0.8383838383838385,1.55,0.07894106907292112
0.8383838383838385,1.6,0.07901763655019844
0.8383838383838385,1.6500000000000001,0.07909420402747577
0.8383838383838385,1.7000000000000002,0.0791707715047531
0.8383838383838385,1.75,0.07924733898203042
0.8383838383838385,1.8,0.07932390645930774
0.8383838383838385,1.85,0.07940047393658506
0.8383838383838385,1.9000000000000001,0.0794770414138624
0.8383838383838385,1.9500000000000002,0.07955360889113972
0.8383838383838385,2.0,0.07963017636841704
0.8383838383838385,2.0500000000000003,0.07970674384569436
0.8383838383838385,2.1,0.07978331132297169
0.8383838383838385,2.15,0.07985987880024902
0.8383838383838385,2.2,0.07993644627752634
0.8383838383838385,2.25,0.08001301375480366
0.8383838383838385,2.3000000000000003,0.08008958123208099
0.8383838383838385,2.35,0.08016614870935831
0.8383838383838385,2.4000000000000004,0.08024271618663564
0.8383838383838385,2.45,0.08031928366391296
0.8383838383838385,2.5,0.08039585114119029
0.8383838383838385,2.5500000000000003,0.0804724186184676
0.8383838383838385,2.6,0.08054898609574494
0.8383838383838385,2.6500000000000004,0.08062555357302226
0.8383838383838385,2.7,0.08070212105029959
0.8383838383838385,2.75,0.0807786885275769
0.8383838383838385,2.8000000000000003,0.08085525600485423
0.8383838383838385,2.85,0.08093182348213156
0.8383838383838385,2.9000000000000004,0.08100839095940889
0.8383838383838385,2.95,0.0810849584366862
0.8383838383838385,3.0,0.08116152591396353
0.8383838383838385,3.0500000000000003,0.08123809339124086
0.8383838383838385,3.1,0.08131466086851818
0.8383838383838385,3.1500000000000004,0.0813912283457955
0.8383838383838385,3.2,0.08146779582307283
0.8383838383838385,3.25,0.08154436330035014
0.8383838383838385,3.3000000000000003,0.08162093077762748
0.8383838383838385,3.35,0.0816974982549048
0.8383838383838385,3.4000000000000004,0.08177406573218213
0.8383838383838385,3.45,0.08185063320945943
0.8383838383838385,3.5,0.08192720068673677
0.8383838383838385,3.5500000000000003,0.08200376816401408
0.8383838383838385,3.6,0.08208033564129143
0.8383838383838385,3.6500000000000004,0.08215690311856873
0.8383838383838385,3.7,0.08223347059584607
0.8383838383838385,3.75,0.08231003807312338
0.8383838383838385,3.8000000000000003,0.08238660555040071
0.8383838383838385,3.85,0.08246317302767803
0.8383838383838385,3.9000000000000004,0.08253974050495536
0.8383838383838385,3.95,0.08261630798223267
0.8383838383838385,4.0,0.08269287545951001
0.8383838383838385,4.05,0.08276944293678733
0.8383838383838385,4.1000000000000005,0.08284601041406466
0.8383838383838385,4.15,0.08292257789134197
0.8383838383838385,4.2,0.08299914536861931
0.8383838383838385,4.25,0.08307571284589663
0.8383838383838385,4.3,0.08315228032317395
0.8383838383838385,4.3500000000000005,0.08322884780045127
0.8383838383838385,4.4,0.0833054152777286
0.8383838383838385,4.45,0.08338198275500593
0.8383838383838385,4.5,0.08345855023228325
0.8383838383838385,4.55,0.08353511770956057
0.8383838383838385,4.6000000000000005,0.0836116851868379
