train loss,test loss
0.00041249460326643384,0.0739645853638649
0.00038791577745336955,0.07722637131810188
0.00041407970637652637,0.07496700435876846
0.00039373942002741215,0.07398135513067246
0.0003830056651607784,0.07901519909501076
0.0003844626795149318,0.07772408872842788
0.0003745866522111528,0.07501214072108268
0.00039631179778983717,0.0724835067987442
0.00037975274503315834,0.07662663385272026
0.00040425212519379345,0.07314908504486084
0.00041233845602415864,0.08624465018510818
0.00039411243989913487,0.0739297091960907
0.00037161434088467686,0.07544039264321327
0.0003632885360073845,0.07647944539785385
0.00036749387758925917,0.07225222587585449
0.000364327271215683,0.07576007246971131
0.00035504098724597214,0.0759514220058918
0.00035924030183872576,0.08240597248077393
0.00036901826599509773,0.07434490844607353
0.00038178352124901,0.07259640172123909
0.0003655050691359507,0.0889014482498169
0.00035765656586469075,0.07522689327597618
0.00037332456504753173,0.08078487813472748
0.000356323734710091,0.07408690452575684
0.00034942679276919606,0.08355097025632859
0.00035503892778356353,0.07332361936569214
0.0003450445537203051,0.07539626508951187
0.0003607717906850533,0.07556112557649612
0.0003473996073581441,0.0723248690366745
0.0003369564964308931,0.07408888041973113
0.00034654510917628414,0.08161810040473938
0.0003430170812059631,0.073487089574337
0.0003307965501778914,0.07338869273662567
0.0003264103616986956,0.07243006750941276
0.00032851762974848026,0.07287811040878296
0.000326556511511869,0.07408376932144164
0.0003324186828420991,0.07413597106933593
0.000324396172834334,0.07476696893572807
0.00035587281827681504,0.08524038195610047
0.00032763319638272705,0.07246586456894874
0.0003193841170562057,0.07334245592355729
0.0003210096168077723,0.07906271368265153
0.00031692527612365516,0.07603464052081108
0.00032940140733735986,0.07366382032632827
0.00031127990850041837,0.0752189353108406
0.0003380312272133337,0.0745275855064392
0.0003205427743014452,0.0722694531083107
0.00031500034948068675,0.07315504550933838
0.00031375587160824335,0.07572183161973953
0.00031749878476040275,0.07400204688310623
0.00030783883261619794,0.08022025972604752
0.00031705290794592706,0.08040763661265374
0.000299399656568333,0.07275941595435143
0.0002999077297457296,0.0739276260137558
0.0003016698552946155,0.07205720618367195
0.0003070149827620079,0.07240601927042008
0.00029962706106738255,0.07931430786848068
0.0003043886037812381,0.07395466044545174
0.0003110795262012076,0.07597668319940568
0.00029695497943714835,0.07625263333320617
0.000303461345240669,0.0724781446158886
0.00031547429108450974,0.0798970028758049
0.00033286240454734464,0.07384408861398697
0.0002979368290030643,0.07597412690520286
0.0002964616031736806,0.0740171879529953
0.00029071103886787455,0.0744249813258648
0.0002966110427348108,0.07861088886857033
0.00033131339109154794,0.07582648769021035
0.000284632601876264,0.07259534969925881
0.00027331579149815076,0.08366931974887848
0.0002831711090312135,0.07261908873915672
0.00027899665865534836,0.07362824231386185
0.00027462789606554164,0.0758531078696251
0.00027843628274767024,0.0764434814453125
0.0003111528341663686,0.07307618707418442
0.00029521140619278354,0.07443538680672646
0.00027679018281045266,0.07337682694196701
0.00029019077632296794,0.07761538326740265
0.00027219938696722496,0.07247072011232376
0.00026645825556969563,0.07335112094879151
0.0002709019920778597,0.07987830936908721
0.00027662821977370033,0.07490975558757781
0.00027030735777975267,0.07415944263339043
0.0002639619799459029,0.07793720662593842
0.00027237870032014713,0.07256866171956063
0.0002617897161246304,0.07323794290423394
0.00026389827203674273,0.07383721768856048
0.00027009229765435536,0.077840406447649
0.0002783275689363716,0.07771769389510155
